Date,Location,Province,TotalKilledMin,TotalKilledMax,MilitantsKilledMin,MilitantsKilledMax,CiviliansKilledMin,CiviliansKilledMax,UnknownKilledMin,UnknownKilledMax,Target,LeadersKilled,Description,NumLeadersKilled,SourceConfirmed
2014-10-25,near Rada,Al Bayda,3,10,3,10,NA,NA,NA,NA,Ansar al-Sharia,NA,NA,0.0,NAF
2014-11-04,Radaa,Al Bayda,10,20,10,20,NA,NA,NA,NA,AQAP,NA,NA,0.0,NAF
2014-11-25,Hagr al-Saiaar,Hadramawt,7,7,7,7,NA,NA,NA,NA,AQAP,NA,NA,0.0,NAF
2014-12-06,NA,Shabwah,4,14,2,6,2,8,NA,NA,AQAP,NA,NA,0.0,NAF
2014-12-06,Wadi Abdan,Shabwah,9,9,9,9,NA,NA,NA,NA,AQAP,NA,NA,0.0,NAF
2015-01-26,Hareeb,Marib,3,3,2,2,NA,NA,1,1,AQAP,NA,NA,0.0,NAF
2015-01-31,Al Saeed,Shabwah,4,4,4,4,NA,NA,NA,NA,AQAP,NA,NA,0.0,NAF
2015-02-02,Maswara,Al Bayda,3,4,3,4,NA,NA,NA,NA,AQAP,NA,NA,0.0,NAF
2015-02-28,Bayhan,Shabwah,3,4,3,4,NA,NA,NA,NA,AQAP,NA,NA,0.0,NAF
2015-03-02,Markha,Shabwah,3,3,3,3,NA,NA,NA,NA,AQAP,NA,NA,0.0,NAF
2015-04-13,Al Mukalla,Hadramawt,6,6,6,6,NA,NA,NA,NA,AQAP,Ibrahim al-Rubeish,AQAP Spokesman,1.0,NAF
2015-04-16,Habban,Shabwah,2,2,2,2,NA,NA,NA,NA,AQAP,NA,NA,0.0,NAF
2015-04-19,Saeed,Shabwah,3,3,3,3,NA,NA,NA,NA,AQAP,NA,NA,0.0,NAF
2015-04-22,Al Mukalla,Hadramawt,7,7,7,7,NA,NA,NA,NA,AQAP,Muhannad Ghallab,"AQAP Spokesman, Senior Commander",1.0,NAF
2015-05-11,Al Mukalla,Hadramawt,4,4,4,4,NA,NA,NA,NA,AQAP,NA,NA,0.0,NAF
2015-06-09,Al Mukalla,Hadramawt,3,3,3,3,NA,NA,NA,NA,Al-Qaeda,NA,NA,0.0,NAF
2015-06-12,Al Mukalla,Hadramawt,3,3,3,3,NA,NA,NA,NA,AQAP,Nasir al Wuhayshi,"AQAP Head, Al Qaeda Number Two",1.0,NAF
2015-06-24,Al Mukalla,Hadramawt,4,4,4,4,NA,NA,NA,NA,Al-Qaeda,NA,NA,0.0,NAF
2015-06-25,Rafadh,Shabwah,5,5,5,5,NA,NA,NA,NA,Al-Qaeda,NA,NA,0.0,NAF
2015-07-11,Mukalla,Hadramawt,4,0,4,NA,NA,NA,NA,NA,AQAP,NA,NA,0.0,NAF
2015-07-29,al-Mahfad,Abyan,4,5,4,5,NA,NA,NA,NA,Ansar al-Sharia,NA,NA,0.0,NAF
2015-08-11,Al Mukalla,Hadramawt,5,5,5,5,NA,NA,NA,NA,Al-Qaeda,NA,NA,0.0,NAF
2015-08-20,Harib,Marib,3,3,3,3,NA,NA,NA,NA,AQAP,NA,NA,0.0,NAF
2015-08-23,Mukalla,Hadramawt,4,4,4,4,NA,NA,NA,NA,AQAP,NA,NA,0.0,NAF
2015-08-27,Al Mukalla,Hadramawt,5,5,5,5,NA,NA,NA,NA,Al-Qaeda,NA,NA,0.0,NAF
2015-09-09,Mukalla,Hadramawt,3,4,3,4,NA,NA,NA,NA,AQAP,NA,NA,0.0,NAF
2015-09-12,Unknown,Al Jawf,4,4,4,4,NA,NA,NA,NA,AQAP,NA,NA,0.0,NAF
2015-09-21,Marib,Marib,2,2,2,2,NA,NA,NA,NA,Al-Qaeda,NA,NA,0.0,NAF
2015-12-22,Nata District,Shabwah,4,4,4,4,NA,NA,NA,NA,AQAP,NA,NA,0.0,NAF
2016-01-15,Ruqot,Shabwah,3,3,3,3,NA,NA,NA,NA,AQAP,NA,NA,0.0,NAF
2016-01-19,Sayoun,Hadramawt,2,2,2,2,NA,NA,NA,NA,AQAP,NA,NA,0.0,NAF
2016-02-03,Rodhoum,Shabwah,6,6,6,6,NA,NA,NA,NA,AQAP,NA,NA,0.0,NAF
2016-02-04,Maraqesha,Abyan,3,3,3,3,NA,NA,NA,NA,AQAP,Jalal Baleedi/Abu Hamza,"Top AQAP commander, who may have recently defected to become the leader of the Islamic State's Yemen affiliate, had a $5 million bounty on him offered by the U.S. State Department",1.0,NAF
2016-02-15,Huta,Lahij,3,3,NA,NA,NA,NA,3,3,Al-Qaeda,NA,NA,0.0,NAF
2016-02-29,NA,Hadramawt,3,3,3,3,NA,NA,NA,NA,AQAP,NA,NA,0.0,NAF
2016-03-04,Radhum,Shabwah,4,4,4,4,NA,NA,NA,NA,AQAP,NA,NA,0.0,NAF
2016-03-22,Mukalla,Hadramawt,56,56,56,56,NA,NA,NA,NA,AQAP,NA,NA,0.0,NAF
2016-03-26,al-Hudhn,Abyan,8,8,8,8,NA,NA,NA,NA,Al-Qaeda,NA,NA,0.0,NAF
2016-03-30,Azzan,Shabwah,2,2,2,2,NA,NA,NA,NA,AQAP,NA,NA,0.0,NAF
2016-04-23,NA,Marib,2,2,2,2,NA,NA,NA,NA,AQAP,NA,NA,0.0,NAF
2016-04-25,Azzan,Shabwah,2,2,2,2,NA,NA,NA,NA,AQAP,NA,NA,0.0,NAF
2016-04-25,NA,Abyan,2,2,2,2,NA,NA,NA,NA,AQAP,NA,NA,0.0,NAF
