Date,Village.local.area,District,Province,AttackType,DroneStrike,ConfirmedUSAttack,US.only.source.,Counter..terrorism..force.protection.or.strategic.effects.,Reported.target.group.,Time,Reported.target.type,StrikesMin,StrikesMax,TotalKilledMin,TotalKilledMax,CiviliansKilledMin,CiviliansKilledMax,ChildrenKilledMin,ChildrenKilledMax,TotalInjuredMin,TotalInjuredMax
2015-06-11,Maroufkhil,Khushamand,Paktika,US strike,1,0,0,NA,Arabs making bombs for Taliban,08:00,"Unclear - they were reportedly making bombs so could be hideout but possibly a ""gathering"" as vehicles destroyed.",1,1,30,30,0,0,0,0,0,0
2015-06-11,Jarkani,Yousufkhil,Paktika,US strike,1,0,0,NA,Insurgents,NA,A motorcylce,1,1,2,2,0,0,0,0,0,0
2015-06-14,Unknown,Dangam,Kunar,US strike,1,1,0,FP,Taliban,NA,Up to three buildings - house,1,1,7,15,0,5,0,5,0,0
2015-06-15,Unknown,Chak e Wardak,Wardak,US strike,0,1,1,NA,NA,NA,NA,1,1,2,2,2,2,0,0,0,0
2015-06-18,Unknown,Chazi Abad,Kunar,US strike,0,1,1,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,0
2015-06-19,Unknown,Mohmand Dara,Nangarhar,US strike,1,0,0,NA,NA,1000,Two vehicles,1,1,8,8,0,0,0,0,0,0
2015-06-19,Kamar Kandaw,Haska Meena,Nangarhar,US strike,1,0,0,NA,NA,Afternoon,On foot,1,1,4,7,0,0,0,0,0,0
2015-06-20,Unknown,"Kanish
",Nuristan,US strike,1,0,0,NA,TTP,Late at night,Hideouts,1,1,4,9,0,0,0,0,0,0
2015-06-21,Barikaab Dab,Bati Kot,Nangarhar,US strike,1,1,0,NA,NA,1730,NA,1,1,6,7,0,0,0,0,0,0
2015-06-26,"Unknown
",Unknown,Nuristan,US strike,0,1,1,FP,NA,Night,NA,1,1,6,6,0,0,0,0,0,0
2015-06-27,"Unknown
",Unknown,Paktika,US strike,1,1,0,FP,AQ,Night,NA,1,1,1,1,0,0,0,0,0,0
2015-06-27,Mardish,Want Waigal,Nuristan,US strike,1,0,0,NA,Taliban,Night,Hideouts,1,1,5,5,0,0,0,0,3,3
2015-06-30,Machi Megi,Lal Pura,Nangarhar,US strike,1,0,0,NA,Taliban,Night,Hideouts,1,1,4,14,0,0,0,0,12,12
2015-07-04,Unknown,Ghanikhel,Nangarhar,US strike,1,0,0,NA,Taliban,NA,NA,1,1,12,12,0,0,0,0,0,0
2015-07-04,Unknown,Chappa Dara,Kunar,US strike,1,0,0,NA,TTP,NA,NA,1,1,1,1,0,0,0,0,0,0
2015-07-04,Unknown,Dara I Pech,Nangarhar,US strike,0,1,1,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,0
2015-07-05,Unknown,Chaparhar,Nangarhar,US strike,1,0,0,NA,Taliban,NA,Hideouts,1,1,3,3,0,0,0,0,0,0
2015-07-06,Unknown,Achin,Nangarhar,US strike,1,1,0,FP,ISIS,Noon,"-
",1,1,12,12,0,0,0,0,0,0
2015-07-06,Unknown,Achin,Nangarhar,US strike,1,1,0,FP,ISIS,1400,NA,1,1,13,37,0,0,0,0,0,0
2015-07-07,Unknown,Achin,Nangarhar,US strike,1,1,0,FP,ISIS,NA,NA,1,1,11,49,0,0,0,0,0,4
2015-07-07,Unknown,Achin,Nangarhar,US strike,1,0,0,NA,ISIS,NA,NA,1,1,18,18,0,0,0,0,0,0
2015-07-07,Unknown,Haska Meena,Nangarhar,US strike,1,0,0,NA,ISIS,NA,NA,1,1,25,25,0,0,0,0,0,0
2015-07-07,Unknown,Bati Kot,Nangarhar,US strike,1,0,0,NA,Taliban / ISIS,NA,NA,1,1,4,4,0,0,0,0,2,2
2015-07-08,Tangi,Dih Bala,Nangarhar,US strike,1,0,0,NA,ISIS,Night,Gathering,1,1,25,52,0,0,0,0,0,0
2015-07-10,"Unknown
",Achin,Nangarhar,US strike,1,1,0,Possible CT,ISIS,Night,Gathering,1,1,30,31,0,0,0,0,0,0
2015-07-11,"Unknown
",Bermal,Paktika,US strike,1,1,0,Probable CT,AQ,NA,NA,1,1,3,3,0,0,0,0,0,0
2015-07-12,Maidnak and Chehal Gazi,Achin,Nangarhar,US strike,1,0,0,NA,Taliban,NA,NA,2,2,12,12,0,0,0,0,0,0
2015-07-14,"Unknown
","Haska Mina
",Nangarhar,US strike,1,0,0,NA,Taliban,Night,Gathering,1,1,28,28,0,0,0,0,0,0
2015-07-16,Unknown,Tor Khail,Wardak,US strike,1,0,0,NA,Haqqani,Morning,Gathering,1,1,8,16,0,0,0,0,0,0
2015-07-16,Unknown,"Haska Mina
",Nangarhar,US strike,1,0,0,NA,Taliban,Afternoon,NA,1,1,6,6,0,0,0,0,0,0
2015-07-20,Cheltan,Baraki Barak,Logar,US strike,0,1,0,NA,Friendly Fire,7.30,ANA Outpost,1,1,7,10,0,0,0,0,5,6
2015-07-26,Chaknawr,Lal Pura,Nangarhar,US strike,1,0,0,NA,NA,Afternoon,Vehicle,1,1,5,6,0,0,0,0,0,0
2015-07-29,Harun Baba,Haska Mina and Pachiragam,Nangarhar,US strike,1,1,0,FP,ISIS,Night,Vehicle,2,2,12,20,0,0,0,0,0,0
2015-08-02,Cholzi,Baraki Barak,Logar,US strike,1,0,0,NA,Taliban,20:00,NA,1,1,4,4,0,0,0,0,0,0
2015-08-04,Unknown,"Sherzad, Haska Mina and Deh Bala",Nangarhar and Paktika,US strike,1,1,0,FP,Taliban,16.00-19.00,Building and convoy,7,7,56,66,0,0,0,0,0,0
2015-08-08,Gorgori,Haska Mina,Nangarhar,US strike,1,0,0,NA,Taliban,12:00,NA,1,1,10,10,0,0,0,0,0,0
2015-08-09,Unknown,Nazyan,Nangarhar,US strike,1,0,0,NA,ISIS,NA,NA,1,1,2,6,0,0,0,0,0,0
2015-08-10,Shonkorok Valley,Shegal,Kunar,US strike,1,0,0,NA,Taliban,NA,Hideout,1,1,3,3,0,0,0,0,0,0
2015-08-17,Unknown,Day Mirdad,Wardak,US strike,1,1,0,FP,NA,Night,NA,1,1,4,5,0,0,0,0,0,0
2015-08-17,Unknown,Chak,Wardak,US strike,1,0,0,NA,NA,Night,NA,1,1,2,3,0,0,0,0,0,0
2015-08-23,Unknown,Musa Qala,Helmand,US strike,0,1,0,NA,NA,NA,NA,2,3,40,40,0,0,0,0,0,0
2015-08-26,Kotikhil,"Shirzad
",Nangarhar,US strike,1,0,0,NA,Taliban,NA,NA,1,1,4,4,0,0,0,0,0,0
2015-08-27,Unknown,Musa Qala,Helmand,US strike,0,1,0,NA,Taliban,NA,NA,2,2,0,0,0,0,0,0,0,0
2015-08-30,Unknown,Musa Qala,Helmand,US strike,0,1,0,NA,Taliban,NA,NA,13,13,0,0,0,0,0,0,0,0
2015-08-31,Unknown,Nahr e Saraj,Helmand,US strike,0,1,1,NA,NA,NA,NA,1,1,2,2,2,2,0,0,0,0
2015-09-01,Unknown,Musa Qala,Helmand,US strike,0,1,0,NA,Taliban,NA,NA,6,6,0,0,0,0,0,0,0,0
2015-09-06,Unknown,Garamser,Helmand,US strike,1,1,0,NA,Friendly Fire,NA,NA,1,1,11,31,0,0,0,0,4,4
2015-09-06,Unknown,Maiwand,Kandahar,US strike,0,1,1,FP,NA,NA,NA,1,1,0,0,0,0,0,0,0,0
2015-09-08,Unknown,Ghazi Abad,Kunar,US strike,1,0,0,NA,Taliban,1000,Hideout,1,1,2,2,0,0,0,0,0,0
2015-09-10,Unknown,Gomal,Paktika,US strike,1,1,0,FP,Taliban,NA,Two vehicles,1,1,5,15,0,0,0,0,0,0
2015-09-13,Marsangi,Lal Pura,Nangarhar,US strike,1,0,0,NA,Taliban,NA,Police vehicle,1,1,4,5,0,0,0,0,2,2
2015-09-17,Melawe,Nazyan,Nangarhar,US strike,1,0,0,NA,ISIS,Evening,"ISIS Camp
",1,1,5,5,0,0,0,0,0,0
2015-09-29,Kunduz airport,Kunduz city,Kunduz,US strike,0,1,0,FP,Taliban,09.00-09.15,Tank,1,1,0,0,0,0,0,0,0,0
2015-09-29,Kunduz airport,Kunduz city,Kunduz,US strike,0,1,0,FP,Taliban,23.30,NA,1,1,0,0,0,0,0,0,0,0
2015-09-30,Kunduz airport,Kunduz city,Kunduz,US strike,0,1,0,FP,Taliban,01.00,NA,1,1,0,24,0,0,0,0,0,0
2015-09-30,Kunduz airport,Kunduz city,Kunduz,US strike,0,1,0,FP,Taliban,17.00,NA,1,1,0,0,0,0,0,0,0,0
2015-09-30,Kunduz airport,Kunduz city,Kunduz,US strike,0,1,0,FP,Taliban,17.00,NA,1,1,0,0,0,0,0,0,0,0
