Date,Location,Province,TotalKilledMin,TotalKilledMax,CiviliansKilledMin,CiviliansKilledMax,SourceConfirmed
2011-08-01,Al Khamila,Abyan,13,16,0,0,"TBIJ (Confirmed, Possible)"
2011-08-24,Zinjibar,Abyan,30,30,0,0,"TBIJ (Confirmed, Possible)"
2011-08-24,Arkoub,Abyan,6,6,0,0,"TBIJ (Confirmed, Possible)"
2011-08-25,Wadi Hassan,Abyan,8,8,0,0,"TBIJ (Confirmed, Possible)"
2011-08-31,Unknown,Abyan,30,30,0,0,"TBIJ (Confirmed, Possible)"
2011-09-05,Jaar,Abyan,3,7,3,7,"TBIJ (Confirmed, Possible)"
2011-09-05,Jaar,Abyan,9,11,1,1,"TBIJ (Confirmed, Possible)"
2011-09-07,Mahfed,Abyan,3,10,0,0,"TBIJ (Confirmed, Possible)"
2011-09-21,Mahfed,Abyan,4,4,0,0,"TBIJ (Confirmed, Possible)"
2011-09-21,Shaqra,Abyan,6,7,0,0,"TBIJ (Confirmed, Possible)"
2011-09-30,Unknown,Jawf,4,4,0,0,"TBIJ (Confirmed, Possible)"
2011-10-05,Al Arqoub,Abyan,5,5,0,0,"TBIJ (Confirmed, Possible)"
2011-10-14,Azzan,Shabwa,0,0,0,0,"TBIJ (Confirmed, Possible)"
2011-10-14,Azzan,Shabwa,7,9,2,2,"TBIJ (Confirmed, Possible)"
2011-10-14,Unknown,Southern Yemen,15,17,0,0,"TBIJ (Confirmed, Possible)"
2011-10-14,Azzan,Shabwa,2,2,1,2,"TBIJ (Confirmed, Possible)"
2011-12-22,Zinjibar,Abyan,1,1,0,0,"TBIJ (Confirmed, Possible)"
2012-01-31,Lawder,Abyan,10,14,0,0,"TBIJ (Confirmed, Possible)"
2012-01-31,Unknown,Abyan,0,0,0,0,"TBIJ (Confirmed, Possible)"
2012-03-09,Unknown,Bayda,23,34,2,2,"TBIJ (Confirmed, Possible)"
2012-03-10,Jaar and Zinjibar,Abyan,24,24,0,0,"TBIJ (Confirmed, Possible)"
2012-03-11,"Jebel Khanfar
Near Jaar",Abyan,3,6,0,0,"TBIJ (Confirmed, Possible)"
2012-03-13,Unknown,Bayda,4,5,0,0,"TBIJ (Confirmed, Possible)"
2012-03-18,Zinjibar,Abyan,14,18,0,0,"TBIJ (Confirmed, Possible)"
2012-03-18,Jaar,Abyan,8,8,0,0,"TBIJ (Confirmed, Possible)"
2012-03-22,Zinjibar,Abyan,29,30,0,0,"TBIJ (Confirmed, Possible)"
2012-03-30,Azzan,Shabwa,5,5,1,1,"TBIJ (Confirmed, Possible)"
2012-04-07,Unknown,Shabwa,0,8,0,0,"TBIJ (Confirmed, Possible)"
2012-04-08,Unknown,Abyan,16,16,0,0,"TBIJ (Confirmed, Possible)"
2012-04-11,Lawder,Abyan,10,14,0,0,"TBIJ (Confirmed, Possible)"
2012-04-14,Al Zahir,Bayda,3,7,0,0,"TBIJ (Confirmed, Possible)"
2012-04-16,Azzan,Shabwa,5,7,0,0,"TBIJ (Confirmed, Possible)"
2012-04-18,Lawder and Jaar,Abyan,6,10,0,0,"TBIJ (Confirmed, Possible)"
2012-04-21,Lawder,Abyan,12,17,0,0,"TBIJ (Confirmed, Possible)"
2012-04-22,Sanda,Marib,4,4,0,0,"TBIJ (Confirmed, Possible)"
2012-04-23,Nasab,Shabwa,3,3,0,0,"TBIJ (Confirmed, Possible)"
2012-04-23,Lawder,Abyan,0,4,0,0,"TBIJ (Confirmed, Possible)"
2012-04-26,Moudia,Abyan,3,3,0,0,"TBIJ (Confirmed, Possible)"
2012-04-29,Unknown,Jawf,3,3,0,0,"TBIJ (Confirmed, Possible)"
2012-04-30,Lawder,Abyan,4,4,0,0,"TBIJ (Confirmed, Possible)"
2012-04-30,Jaar,Abyan,3,3,0,0,"TBIJ (Confirmed, Possible)"
2012-05-02,Zinjibar,Abyan,10,15,0,0,"TBIJ (Confirmed, Possible)"
2012-05-06,Wadi Rafad,Shabwa,2,4,1,1,"TBIJ (Confirmed, Possible)"
